Test time_s,Standard travel_mm,Standard force_N
74.004,5.0476476,0.433178
74.136,5.0477274,0.428964
74.268,5.047827,0.426084
74.388,5.0479466,0.431154
74.52,5.0480462,0.440556
74.652,5.0481458,0.42892
74.772,5.0482454,0.43073
74.904,5.0483252,0.436036
75.036,5.0484248,0.430088
75.168,5.0485244,0.434894
75.288,5.0486042,0.446128
75.42,5.0487436,0.434252
75.552,5.0488434,0.436514
75.672,5.048923,0.431656
75.804,5.0490226,0.435946
75.936,5.0491224,0.434792
76.068,5.0492418,0.442124
76.188,5.0493216,0.43532
76.32,5.0494012,0.442356
76.452,5.0495208,0.444124
76.572,5.0496006,0.445828
76.704,5.04978,0.445396
76.836,5.0498396,0.439256
76.968,5.0498994,0.437396
77.088,5.0499792,0.44261
77.22,5.0501186,0.448606
77.352,5.0502184,0.441196
77.472,5.050298,0.452418
77.604,5.0503976,0.43968
77.736,5.0504974,0.437154
77.868,5.050597,0.439158
77.988,5.0507564,0.436068
78.12,5.050836,0.444886
78.252,5.0509158,0.444674
78.372,5.0510154,0.437592
78.504,5.051115,0.457964
78.636,5.0512346,0.450364
78.768,5.0513342,0.45249
78.888,5.051414,0.44906
79.02,5.0515136,0.445716
79.152,5.0516332,0.446218
79.272,5.0517128,0.460732
79.404,5.0518126,0.44292
79.536,5.051932,0.451508
79.668,5.0520118,0.45221
79.788,5.0521314,0.445006
79.92,5.052231,0.455882
80.052,5.0523306,0.448822
80.172,5.0524104,0.448954
80.304,5.05249,0.45499
80.436,5.0525898,0.45351
80.568,5.0527492,0.453496
80.688,5.0528288,0.462888
80.82,5.0529284,0.456532
80.952,5.0530282,0.454616
81.072,5.0531078,0.460172
81.204,5.0531676,0.445744
81.336,5.0533668,0.46236
81.468,5.0534266,0.460508
81.588,5.0534864,0.449538
81.72,5.053586,0.467182
81.852,5.0537256,0.450478
81.972,5.0538252,0.449676
82.104,5.053905,0.472528
82.236,5.0539846,0.460612
82.368,5.0540842,0.466896
82.488,5.0542038,0.475492
82.62,5.0543632,0.457974
82.752,5.054423,0.463206
82.872,5.0545028,0.474666
83.004,5.0546224,0.45845
83.136,5.0547418,0.468856
83.268,5.0548216,0.46519
