Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2021-08-28,2021-08-30,2763,HELLAM'S TOBACCO SHOP,Merchandise,25.74,
2021-08-30,2021-08-30,2763,COMCAST CALIFORNIA,Phone/Cable,70.23,
2021-08-28,2021-08-30,2763,BIG SUR DINING,Dining,11.85,
2021-08-28,2021-08-30,2763,BRITANNIA ARMS OF MONT,Dining,18.59,
2021-08-29,2021-08-30,2763,ROSINES RESTAURANT,Dining,90.81,
2021-08-28,2021-08-30,2763,SHELL OIL 57442912606,Gas/Automotive,45.58,
2021-08-26,2021-08-28,2763,SAFEWAY #0917,Merchandise,22.92,
2021-08-22,2021-08-24,1975,SAFEWAY #3026,Merchandise,49.83,
2021-08-18,2021-08-18,2763,CAPITAL ONE MOBILE PYMT,Payment/Credit,,429.28
2021-08-15,2021-08-17,1975,SAFEWAY #3026,Merchandise,84.96,
2021-08-15,2021-08-16,1975,MICHAELS STORES 2109,Merchandise,49.11,
2021-08-14,2021-08-16,1975,CVS/PHARMACY #09545,Health Care,137.00,
2021-08-13,2021-08-14,1975,TARGET        00012088,Merchandise,45.54,
2021-08-09,2021-08-10,1975,ANDOIL,Gas/Automotive,54.15,
2021-08-08,2021-08-09,1975,MR PICKLES - 312,Dining,20.80,
2021-08-07,2021-08-09,1975,SAFEWAY #3026,Merchandise,37.72,
2021-08-06,2021-08-06,2763,CAPITAL ONE MOBILE PYMT,Payment/Credit,,618.82
2021-08-02,2021-08-04,1975,SHELL OIL 57444679609,Gas/Automotive,42.99,
2021-08-01,2021-08-03,2763,SPICES RESTAURANT,Dining,122.05,
2021-07-31,2021-08-02,1975,THE SPINNAKER,Dining,64.32,
2021-07-31,2021-08-02,2763,ROOFTOP,Dining,119.14,
2021-07-31,2021-08-02,2763,CITY OF SAUSALITO,Gas/Automotive,4.00,
2021-07-31,2021-08-02,2763,CITY OF SAUSALITO,Gas/Automotive,4.00,
2021-07-31,2021-08-02,2763,ANDOIL,Gas/Automotive,40.00,
2021-07-31,2021-08-02,2763,SQ *SHADOWBROOK WINERY,Merchandise,102.60,
2021-07-29,2021-07-31,2763,SAFEWAY #3026,Merchandise,49.49,
2021-07-30,2021-07-30,2763,CAPITAL ONE MOBILE PYMT,Payment/Credit,,357.20
2021-07-30,2021-07-30,2763,COMCAST CALIFORNIA,Phone/Cable,70.23,
2021-07-27,2021-07-28,1975,SAMS CLUB #6612,Merchandise,106.19,
2021-07-26,2021-07-28,2763,SAFEWAY #0917,Merchandise,2.49,
2021-07-22,2021-07-27,2763,LIVING SPACES E COMMER,Merchandise,,429.56
